ID,Station,DateTimeET,Parameter,Depth_m,FinalResult,Units,Probe_Type,UniqueID,DataSource,DataSourceID,ImportDate
48,302,2025-07-21T09:48:00Z,Blue Green Algae,2.493,0.16,ug/L,YSI_EXO2,302_2025-07-21 09:48_2.493_BGA-PC_4,HoldingPond_profiles_2025.xlsx_302_21July,48,2025-08-08
49,302,2025-07-21T09:48:00Z,Chlorophyll RFU,2.493,0.55,RFU,YSI_EXO2,302_2025-07-21 09:48_2.493_Chl-RFU_4,HoldingPond_profiles_2025.xlsx_302_21July,49,2025-08-08
50,302,2025-07-21T09:48:00Z,Chlorophyll,2.493,2.41,ug/L,YSI_EXO2,302_2025-07-21 09:48_2.493_Chl_4,HoldingPond_profiles_2025.xlsx_302_21July,50,2025-08-08
51,302,2025-07-21T09:50:00Z,Water Temperature,2.959,18.261,Deg-C,YSI_EXO2,302_2025-07-21 09:50_2.959_TWA-C_4,HoldingPond_profiles_2025.xlsx_302_21July,51,2025-08-08
52,302,2025-07-21T09:50:00Z,Oxygen Saturation,2.959,40.3,%,YSI_EXO2,302_2025-07-21 09:50_2.959_LDOs_4,HoldingPond_profiles_2025.xlsx_302_21July,52,2025-08-08
53,302,2025-07-21T09:50:00Z,Dissolved Oxygen,2.959,3.79,mg/L,YSI_EXO2,302_2025-07-21 09:50_2.959_LDOd_4,HoldingPond_profiles_2025.xlsx_302_21July,53,2025-08-08
54,302,2025-07-21T09:50:00Z,Specific Conductance,2.959,79.3,uS/cm,YSI_EXO2,302_2025-07-21 09:50_2.959_SPCD_4,HoldingPond_profiles_2025.xlsx_302_21July,54,2025-08-08
55,302,2025-07-21T09:50:00Z,pH,2.959,5.45,pH,YSI_EXO2,302_2025-07-21 09:50_2.959_pH_4,HoldingPond_profiles_2025.xlsx_302_21July,55,2025-08-08
56,302,2025-07-21T09:50:00Z,Turbidity FNU,2.959,0.43,FNU,YSI_EXO2,302_2025-07-21 09:50_2.959_TUR-FNU_4,HoldingPond_profiles_2025.xlsx_302_21July,56,2025-08-08
57,302,2025-07-21T09:50:00Z,Blue Green Algae RFU,2.959,-0.03,RFU,YSI_EXO2,302_2025-07-21 09:50_2.959_BGA-PC-RFU_4,HoldingPond_profiles_2025.xlsx_302_21July,57,2025-08-08
58,302,2025-07-21T09:50:00Z,Blue Green Algae,2.959,0.04,ug/L,YSI_EXO2,302_2025-07-21 09:50_2.959_BGA-PC_4,HoldingPond_profiles_2025.xlsx_302_21July,58,2025-08-08
59,302,2025-07-21T09:50:00Z,Chlorophyll RFU,2.959,0.55,RFU,YSI_EXO2,302_2025-07-21 09:50_2.959_Chl-RFU_4,HoldingPond_profiles_2025.xlsx_302_21July,59,2025-08-08
60,302,2025-07-21T09:50:00Z,Chlorophyll,2.959,2.4,ug/L,YSI_EXO2,302_2025-07-21 09:50_2.959_Chl_4,HoldingPond_profiles_2025.xlsx_302_21July,60,2025-08-08
61,302,2025-07-21T09:52:00Z,Water Temperature,3.526,15.641,Deg-C,YSI_EXO2,302_2025-07-21 09:52_3.526_TWA-C_4,HoldingPond_profiles_2025.xlsx_302_21July,61,2025-08-08
62,302,2025-07-21T09:52:00Z,Oxygen Saturation,3.526,33.6,%,YSI_EXO2,302_2025-07-21 09:52_3.526_LDOs_4,HoldingPond_profiles_2025.xlsx_302_21July,62,2025-08-08
63,302,2025-07-21T09:52:00Z,Dissolved Oxygen,3.526,3.34,mg/L,YSI_EXO2,302_2025-07-21 09:52_3.526_LDOd_4,HoldingPond_profiles_2025.xlsx_302_21July,63,2025-08-08
64,302,2025-07-21T09:52:00Z,Specific Conductance,3.526,76.7,uS/cm,YSI_EXO2,302_2025-07-21 09:52_3.526_SPCD_4,HoldingPond_profiles_2025.xlsx_302_21July,64,2025-08-08
65,302,2025-07-21T09:52:00Z,pH,3.526,5.47,pH,YSI_EXO2,302_2025-07-21 09:52_3.526_pH_4,HoldingPond_profiles_2025.xlsx_302_21July,65,2025-08-08
66,302,2025-07-21T09:52:00Z,Turbidity FNU,3.526,0.77,FNU,YSI_EXO2,302_2025-07-21 09:52_3.526_TUR-FNU_4,HoldingPond_profiles_2025.xlsx_302_21July,66,2025-08-08
67,302,2025-07-21T09:52:00Z,Blue Green Algae RFU,3.526,0.31,RFU,YSI_EXO2,302_2025-07-21 09:52_3.526_BGA-PC-RFU_4,HoldingPond_profiles_2025.xlsx_302_21July,67,2025-08-08
68,302,2025-07-21T09:52:00Z,Blue Green Algae,3.526,0.37,ug/L,YSI_EXO2,302_2025-07-21 09:52_3.526_BGA-PC_4,HoldingPond_profiles_2025.xlsx_302_21July,68,2025-08-08
69,302,2025-07-21T09:52:00Z,Chlorophyll RFU,3.526,0.59,RFU,YSI_EXO2,302_2025-07-21 09:52_3.526_Chl-RFU_4,HoldingPond_profiles_2025.xlsx_302_21July,69,2025-08-08
70,302,2025-07-21T09:52:00Z,Chlorophyll,3.526,2.56,ug/L,YSI_EXO2,302_2025-07-21 09:52_3.526_Chl_4,HoldingPond_profiles_2025.xlsx_302_21July,70,2025-08-08
71,302,2025-07-21T09:54:00Z,Water Temperature,3.932,13.817,Deg-C,YSI_EXO2,302_2025-07-21 09:54_3.932_TWA-C_4,HoldingPond_profiles_2025.xlsx_302_21July,71,2025-08-08
72,302,2025-07-21T09:54:00Z,Oxygen Saturation,3.932,37.4,%,YSI_EXO2,302_2025-07-21 09:54_3.932_LDOs_4,HoldingPond_profiles_2025.xlsx_302_21July,72,2025-08-08
73,302,2025-07-21T09:54:00Z,Dissolved Oxygen,3.932,3.87,mg/L,YSI_EXO2,302_2025-07-21 09:54_3.932_LDOd_4,HoldingPond_profiles_2025.xlsx_302_21July,73,2025-08-08
